ticket_id,text,channel,category
TCK000000,"hi issue with my payment, second time asking!!",email,account_access
TCK000001,dear team money missing from my account please help,email,loan_servicing
TCK000002,dear team I want to make a formal complaint about teh handling of my case please help,web,complaint
TCK000003,hi I have been waiting 3 weeks for a response and this is unacceptable many thanks,phone_transcript,complaint
TCK000004,dear team what is teh early settlement figure for my loan account thanks,phone_transcript,loan_servicing
TCK000005,"hello my account was compromised after a phishing text, £672.67 is missing thanks",app,fraud_dispute
TCK000006,good morning why was I charged £791.68 this month when my plan is fixed,email,billing
TCK000007,HI I DID NOT AUTHORISE THE £635.77 CHARGE FROM AMZN MKTPLACE ON MY CARD.,app,fraud_dispute
TCK000008,"good morning duplicate direct debit taken, need a refund of £126.70",phone_transcript,billing
TCK000009,"hi my direct debit for teh loan failed, how do I catch up!",phone_transcript,loan_servicing
TCK000010,"good morning locked out after three attempts, need my password reset",email,account_access
TCK000011,hi I want to make an overpayment of £140.33 on my loan.,email,loan_servicing
TCK000012,"PLEASE REVIEW MY ACCOUNT, THE NUMBERS LOOK WRONG THANKS",email,general_enquiry
TCK000013,dear team teh amount is not what I expected!!,app,general_enquiry
TCK000014,good morning what documents do I need to update my address thanks,email,general_enquiry
TCK000015,good morning need help with a charge on my acount please help,email,billing
TCK000016,something is wrong with my statement!!,app,loan_servicing
TCK000017,dear team my username is not recognised even though the account is active regards,email,account_access
TCK000018,hello the annual fee of £664.17 was applied twice to my statement.,app,billing
TCK000019,"cannot log in to the app, it says my credentials are invalid!!",app,account_access
TCK000020,good morning I was billed £197.93 after I already cancelled teh service.,app,billing
TCK000021,good morning the annual fee of £474.31 was applied twice to my statement,email,billing
TCK000022,hello I was billed £124.24 after I already cancelled the service.,app,billing
TCK000023,hello I want to make a formal complaint about the handling of my case,web,complaint
TCK000024,HI HOW DO I ORDER A REPLACEMENT CARD FOR A LOST ONE MANY THANKS,web,general_enquiry
TCK000025,"GOOD MORNING PAYMENT ISSUE ON MY ACCOUNT, NEED THIS SORTED TODAY!",phone_transcript,account_access
TCK000026,good morning what is the early settlement figure for my loan account.,email,loan_servicing
TCK000027,"good morning duplicate direct debit taken, need a refund of £157.44!!",web,billing
TCK000028,can I change my monthly instalment date to the 7th regards,email,loan_servicing
TCK000029,hello can I change my monthly instalment date to the 3th!!,web,loan_servicing
TCK000030,"dear team cannot log in to the app, it says my credentials are invalid",app,account_access
TCK000031,hi team do you offer joint accounts for students thanks,email,general_enquiry
TCK000032,GOOD MORNING MY USERNAME IS NOT RECOGNISED EVEN THOUGH THE ACCOUNT IS ACTIVE PLEASE HELP,app,account_access
TCK000033,"DEAR TEAM DUPLICATE DIRECT DEBIT TAKEN, NEED A REFUND OF £616.55 MANY THANKS",phone_transcript,billing
TCK000034,DEAR TEAM THERE IS A PROBLEM WITH MY ACCOUNT PLEASE CALL ME MANY THANKS,email,loan_servicing
TCK000035,"HI LOCKED OUT AFTER THREE ATTEMPTS, NEED MY PASSWORD RESET!!",app,account_access
